kod řeky,tyden,prumer
198400,24.11.1986,0.3567
198400,01.12.1986,0.3657
198400,08.12.1986,0.3480
198400,15.12.1986,0.3874
198400,22.12.1986,0.3771
198400,29.12.1986,1.3970
198400,05.01.1987,0.8096
198400,12.01.1987,1.0931
198400,19.01.1987,0.3923
198400,26.01.1987,0.8976
198400,02.02.1987,0.4570
198400,09.02.1987,2.4414
198400,16.02.1987,1.6829
198400,23.02.1987,1.2129
198400,02.03.1987,0.9614
198400,09.03.1987,0.6574
198400,16.03.1987,1.4560
198400,23.03.1987,5.8657
198400,30.03.1987,3.2200
198400,06.04.1987,2.8700
198400,13.04.1987,1.3480
198400,20.04.1987,0.7969
198400,27.04.1987,0.7111
198400,04.05.1987,0.8399
198400,11.05.1987,0.6664
198400,18.05.1987,0.9813
198400,25.05.1987,0.8233
198400,01.06.1987,0.8703
198400,08.06.1987,0.8914
198400,15.06.1987,1.8150
198400,22.06.1987,1.8569
198400,29.06.1987,1.2401
198400,06.07.1987,0.8037
198400,13.07.1987,0.5586
198400,20.07.1987,1.1477
198400,27.07.1987,0.6351
198400,03.08.1987,0.5154
198400,10.08.1987,0.5357
198400,17.08.1987,0.4847
198400,24.08.1987,0.4450
198400,31.08.1987,0.5054
198400,07.09.1987,0.6591
198400,14.09.1987,0.6173
198400,21.09.1987,0.5694
198400,28.09.1987,0.4639
198400,05.10.1987,0.4133
198400,12.10.1987,0.4413
198400,19.10.1987,0.5524
198400,26.10.1987,0.5446
198400,02.11.1987,0.4971
198400,09.11.1987,0.4776
198400,16.11.1987,0.5639
198400,23.11.1987,0.5341
198400,30.11.1987,0.4706
198400,07.12.1987,0.4199
198400,14.12.1987,1.1036
198400,21.12.1987,1.1419
198400,28.12.1987,0.6924
198400,04.01.1988,0.4783
198400,11.01.1988,0.4487
198400,18.01.1988,0.4451
198400,25.01.1988,1.0107
198400,01.02.1988,0.7857
198400,08.02.1988,0.7041
198400,15.02.1988,0.6631
198400,22.02.1988,0.7864
198400,29.02.1988,0.7433
198400,07.03.1988,1.0283
198400,14.03.1988,3.2300
198400,21.03.1988,3.1271
198400,28.03.1988,2.5171
198400,04.04.1988,1.1964
198400,11.04.1988,0.8354
198400,18.04.1988,0.7416
198400,25.04.1988,0.6034
198400,02.05.1988,0.5901
198400,09.05.1988,0.5894
198400,16.05.1988,0.6117
198400,23.05.1988,0.6239
198400,30.05.1988,0.6177
198400,06.06.1988,1.1756
198400,13.06.1988,0.5663
198400,20.06.1988,0.5130
198400,27.06.1988,0.8029
198400,04.07.1988,0.7596
198400,11.07.1988,0.4947
198400,18.07.1988,0.9419
198400,25.07.1988,1.9941
198400,01.08.1988,0.6336
198400,08.08.1988,0.4813
198400,15.08.1988,0.4840
198400,22.08.1988,0.4320
198400,29.08.1988,0.5891
198400,05.09.1988,0.7461
198400,12.09.1988,0.4736
198400,19.09.1988,0.3849
198400,26.09.1988,0.3690
198400,03.10.1988,0.3824
198400,10.10.1988,0.4236
198400,17.10.1988,0.4191
198400,24.10.1988,0.4334
198400,31.10.1988,0.4140
198400,07.11.1988,0.3886
198400,14.11.1988,0.4659
198400,21.11.1988,0.5286
198400,28.11.1988,0.6657
198400,05.12.1988,1.5771
198400,12.12.1988,0.8046
198400,19.12.1988,0.9399
198400,26.12.1988,0.8257
198400,02.01.1989,0.5367
198400,09.01.1989,0.5849
198400,16.01.1989,0.5144
198400,23.01.1989,0.4800
198400,30.01.1989,0.4461
198400,06.02.1989,0.4499
198400,13.02.1989,0.4857
198400,20.02.1989,0.6106
198400,27.02.1989,0.8086
198400,06.03.1989,0.7947
198400,13.03.1989,1.0100
198400,20.03.1989,0.6321
198400,27.03.1989,0.5663
198400,03.04.1989,0.4781
198400,10.04.1989,0.4976
198400,17.04.1989,0.5010
198400,24.04.1989,0.6426
198400,01.05.1989,0.6697
198400,08.05.1989,0.5063
198400,15.05.1989,0.4244
198400,22.05.1989,0.3896
198400,29.05.1989,0.4244
198400,05.06.1989,0.4677
198400,12.06.1989,0.3401
198400,19.06.1989,0.4147
198400,26.06.1989,0.4054
198400,03.07.1989,0.4271
198400,10.07.1989,0.5206
198400,17.07.1989,0.3604
198400,24.07.1989,0.5169
198400,31.07.1989,0.3594
198400,07.08.1989,0.4421
198400,14.08.1989,0.3347
198400,21.08.1989,0.3009
198400,28.08.1989,0.3519
198400,04.09.1989,0.4126
198400,11.09.1989,0.3739
198400,18.09.1989,0.3410
198400,25.09.1989,0.3726
198400,02.10.1989,0.5034
198400,09.10.1989,0.4847
198400,16.10.1989,0.4606
198400,23.10.1989,0.4114
198400,30.10.1989,0.5343
198400,06.11.1989,0.8040
198400,13.11.1989,0.4684
198400,20.11.1989,0.4666
198400,27.11.1989,0.3599
198400,04.12.1989,0.3664
198400,11.12.1989,0.5157
198400,18.12.1989,0.5494
198400,25.12.1989,0.4824
198400,01.01.1990,0.3797
198400,08.01.1990,0.4154
198400,15.01.1990,0.3473
198400,22.01.1990,0.3711
198400,29.01.1990,0.3996
198400,05.02.1990,0.3350
198400,12.02.1990,0.4889
198400,19.02.1990,0.5194
198400,26.02.1990,0.7473
198400,05.03.1990,0.5559
198400,12.03.1990,0.4609
198400,19.03.1990,0.4859
198400,26.03.1990,0.4234
198400,02.04.1990,0.4331
198400,09.04.1990,0.4296
198400,16.04.1990,0.3643
198400,23.04.1990,0.9980
198400,30.04.1990,0.4967
198400,07.05.1990,0.3841
198400,14.05.1990,0.3237
198400,21.05.1990,0.2989
198400,28.05.1990,0.2846
198400,04.06.1990,0.2917
198400,11.06.1990,0.2860
198400,18.06.1990,0.3091
198400,25.06.1990,0.2939
198400,02.07.1990,0.3566
198400,09.07.1990,0.2770
198400,16.07.1990,0.2941
198400,23.07.1990,0.2604
198400,30.07.1990,0.1136
198400,06.08.1990,0.1689
198400,13.08.1990,0.1563
198400,20.08.1990,0.2550
198400,27.08.1990,0.2041
198400,03.09.1990,0.1123
198400,10.09.1990,0.1334
198400,17.09.1990,0.1317
198400,24.09.1990,0.1551
198400,01.10.1990,0.1896
198400,08.10.1990,0.1717
198400,15.10.1990,0.1791
198400,22.10.1990,0.1667
198400,29.10.1990,0.2123
198400,05.11.1990,0.1933
198400,12.11.1990,0.3219
198400,19.11.1990,0.4046
198400,26.11.1990,0.3696
198400,03.12.1990,0.3263
198400,10.12.1990,0.3073
198400,17.12.1990,0.2910
198400,24.12.1990,0.3340
198400,31.12.1990,0.3877
198400,07.01.1991,0.3579
198400,14.01.1991,0.2747
198400,21.01.1991,0.3096
198400,28.01.1991,0.3607
198400,04.02.1991,0.2570
198400,11.02.1991,0.2563
198400,18.02.1991,0.2573
198400,25.02.1991,0.2974
198400,04.03.1991,0.3250
